source, target, weight
31 , 182 , 1
31 , 106 , 1
31 , 35 , 1
31 , 176 , 1
31 , 31 , 1
32 , 215 , 1
32 , 65 , 1
32 , 81 , 1
32 , 172 , 1
32 , 222 , 1
32 , 133 , 1
32 , 123 , 1
32 , 2 , 1
32 , 3 , 1
32 , 13 , 1
32 , 184 , 1
32 , 195 , 1
32 , 32 , 1
32 , 100 , 1
32 , 205 , 1
32 , 207 , 1
32 , 186 , 1
32 , 208 , 1
32 , 135 , 1
32 , 221 , 1
32 , 105 , 1
33 , 33 , 1
33 , 174 , 1
33 , 115 , 1
33 , 96 , 1
33 , 127 , 1
33 , 95 , 1
34 , 126 , 1
34 , 131 , 1
35 , 31 , 1
35 , 117 , 1
35 , 155 , 1
35 , 35 , 1
35 , 88 , 1
35 , 77 , 1
35 , 75 , 1
35 , 74 , 1
35 , 200 , 1
35 , 69 , 1
35 , 47 , 1
35 , 119 , 1
35 , 143 , 1
35 , 90 , 1
36 , 193 , 1
36 , 210 , 1
36 , 119 , 1
36 , 156 , 1
36 , 64 , 1
36 , 69 , 1
36 , 90 , 1
36 , 42 , 1
36 , 36 , 1
36 , 115 , 1
36 , 92 , 1
36 , 74 , 1
36 , 63 , 1
36 , 186 , 1
36 , 198 , 1
36 , 154 , 1
36 , 91 , 1
36 , 86 , 1
36 , 145 , 1
37 , 143 , 1
37 , 153 , 1
37 , 115 , 1
37 , 60 , 1
37 , 65 , 1
37 , 0 , 1
37 , 120 , 1
37 , 37 , 1
37 , 73 , 1
37 , 30 , 1
37 , 8 , 1
37 , 66 , 1
37 , 51 , 1
37 , 128 , 1
37 , 181 , 1
38 , 71 , 1
38 , 116 , 1
38 , 187 , 1
38 , 148 , 1
38 , 163 , 1
38 , 62 , 1
38 , 24 , 1
38 , 112 , 1
38 , 84 , 1
38 , 107 , 1
38 , 23 , 1
38 , 75 , 1
38 , 85 , 1
38 , 38 , 1
38 , 154 , 1
39 , 15 , 1
39 , 39 , 1
40 , 172 , 1
40 , 40 , 1
41 , 169 , 1
41 , 49 , 1
41 , 141 , 1
41 , 45 , 1
41 , 107 , 1
41 , 152 , 1
41 , 171 , 1
41 , 41 , 1
41 , 176 , 1
42 , 42 , 1
42 , 115 , 1
42 , 169 , 1
42 , 164 , 1
42 , 26 , 1
42 , 136 , 1
42 , 152 , 1
42 , 36 , 1
42 , 45 , 1
42 , 22 , 1
42 , 206 , 1
42 , 139 , 1
43 , 4 , 1
43 , 19 , 1
43 , 10 , 1
43 , 25 , 1
43 , 43 , 1
43 , 175 , 1
43 , 149 , 1
43 , 184 , 1
43 , 119 , 1
43 , 39 , 1
44 , 127 , 1
44 , 118 , 1
44 , 104 , 1
44 , 78 , 1
44 , 139 , 1
44 , 44 , 1
44 , 81 , 1
44 , 9 , 1
44 , 156 , 1
44 , 218 , 1
44 , 66 , 1
44 , 28 , 1
44 , 171 , 1
44 , 52 , 1
44 , 123 , 1
45 , 171 , 1
45 , 139 , 1
45 , 26 , 1
45 , 137 , 1
45 , 156 , 1
45 , 81 , 1
45 , 80 , 1
45 , 22 , 1
45 , 58 , 1
45 , 123 , 1
45 , 218 , 1
45 , 214 , 1
45 , 115 , 1
45 , 18 , 1
45 , 198 , 1
45 , 45 , 1
45 , 129 , 1
45 , 136 , 1
45 , 49 , 1
45 , 210 , 1
45 , 164 , 1
45 , 169 , 1
45 , 86 , 1
45 , 99 , 1
45 , 104 , 1
45 , 55 , 1
45 , 20 , 1
46 , 44 , 1
46 , 218 , 1
46 , 46 , 1
46 , 123 , 1
46 , 185 , 1
46 , 109 , 1
46 , 119 , 1
46 , 99 , 1
46 , 118 , 1
46 , 136 , 1
46 , 216 , 1
46 , 92 , 1
46 , 143 , 1
46 , 81 , 1
47 , 22 , 1
47 , 148 , 1
47 , 46 , 1
47 , 77 , 1
47 , 217 , 1
47 , 169 , 1
47 , 31 , 1
47 , 218 , 1
47 , 81 , 1
47 , 88 , 1
47 , 92 , 1
47 , 64 , 1
47 , 35 , 1
47 , 7 , 1
47 , 182 , 1
47 , 123 , 1
47 , 47 , 1
47 , 28 , 1
48 , 211 , 1
48 , 154 , 1
48 , 171 , 1
48 , 172 , 1
48 , 157 , 1
48 , 149 , 1
48 , 48 , 1
48 , 166 , 1
49 , 171 , 1
49 , 164 , 1
49 , 45 , 1
49 , 139 , 1
49 , 53 , 1
49 , 178 , 1
49 , 115 , 1
49 , 20 , 1
49 , 141 , 1
49 , 26 , 1
49 , 18 , 1
49 , 49 , 1
50 , 131 , 1
50 , 15 , 1
50 , 211 , 1
50 , 168 , 1
50 , 146 , 1
50 , 142 , 1
50 , 34 , 1
50 , 134 , 1
50 , 202 , 1
50 , 50 , 1
50 , 201 , 1
50 , 188 , 1
50 , 76 , 1
51 , 143 , 1
51 , 165 , 1
51 , 51 , 1
52 , 44 , 1
52 , 127 , 1
52 , 55 , 1
52 , 81 , 1
52 , 156 , 1
52 , 136 , 1
52 , 58 , 1
52 , 218 , 1
52 , 123 , 1
52 , 28 , 1
52 , 99 , 1
52 , 52 , 1
52 , 104 , 1
52 , 92 , 1
52 , 118 , 1
52 , 139 , 1
53 , 115 , 1
53 , 49 , 1
53 , 174 , 1
53 , 12 , 1
53 , 141 , 1
53 , 209 , 1
53 , 80 , 1
53 , 178 , 1
53 , 79 , 1
53 , 53 , 1
53 , 18 , 1
53 , 171 , 1
53 , 20 , 1
54 , 131 , 1
54 , 66 , 1
54 , 105 , 1
54 , 34 , 1
54 , 203 , 1
54 , 100 , 1
54 , 76 , 1
54 , 54 , 1
54 , 161 , 1
54 , 65 , 1
54 , 146 , 1
54 , 15 , 1
54 , 49 , 1
54 , 26 , 1
54 , 21 , 1
55 , 139 , 1
55 , 218 , 1
55 , 81 , 1
55 , 55 , 1
55 , 58 , 1
55 , 123 , 1
56 , 70 , 1
56 , 143 , 1
56 , 152 , 1
56 , 159 , 1
56 , 83 , 1
56 , 212 , 1
56 , 215 , 1
56 , 33 , 1
56 , 56 , 1
56 , 87 , 1
56 , 94 , 1
57 , 220 , 1
57 , 74 , 1
57 , 161 , 1
57 , 155 , 1
57 , 181 , 1
57 , 57 , 1
57 , 143 , 1
57 , 128 , 1
57 , 183 , 1
58 , 214 , 1
58 , 156 , 1
58 , 164 , 1
58 , 49 , 1
58 , 10 , 1
58 , 136 , 1
58 , 44 , 1
58 , 42 , 1
58 , 123 , 1
58 , 92 , 1
58 , 218 , 1
58 , 58 , 1
58 , 26 , 1
58 , 20 , 1
58 , 22 , 1
58 , 86 , 1
58 , 28 , 1
58 , 139 , 1
58 , 169 , 1
58 , 127 , 1
58 , 45 , 1
58 , 106 , 1
58 , 81 , 1
58 , 199 , 1
58 , 55 , 1
58 , 178 , 1
58 , 82 , 1
59 , 115 , 1
59 , 180 , 1
59 , 96 , 1
59 , 67 , 1
59 , 185 , 1
59 , 61 , 1
59 , 109 , 1
59 , 92 , 1
59 , 89 , 1
59 , 59 , 1
59 , 81 , 1
59 , 209 , 1
59 , 123 , 1
59 , 166 , 1
59 , 171 , 1
59 , 77 , 1
60 , 30 , 1
60 , 181 , 1
60 , 143 , 1
60 , 60 , 1
60 , 165 , 1
60 , 120 , 1
60 , 37 , 1
60 , 153 , 1
60 , 66 , 1
60 , 51 , 1
61 , 156 , 1
61 , 59 , 1
61 , 9 , 1
61 , 44 , 1
61 , 109 , 1
61 , 55 , 1
61 , 217 , 1
61 , 139 , 1
61 , 81 , 1
61 , 28 , 1
61 , 77 , 1
61 , 47 , 1
61 , 45 , 1
61 , 61 , 1
61 , 58 , 1
61 , 218 , 1
61 , 104 , 1
61 , 185 , 1
61 , 118 , 1
61 , 123 , 1
61 , 169 , 1
